festival_id,canonical_name,refined_summary,top_keywords,regions,rituals,page
diwali_001,Diwali,"Diwali, also known as Deepavali, is one of the most important festivals in India. It symbolizes the triumph of light over darkness and righteousness over evil.",india;diwali;lamps;lighting;important,Eastern India;Northern India;Southern India;Western India,cleaning homes;firecrackers;lighting lamps;puja,
holi_002,Holi,"Holi is a vibrant festival known for its celebration with colors. It marks the arrival of spring and the victory of good over evil, symbolized by the legend of Prahlada and Holika.",holi;holika;evil;people;colors,Eastern India;Northern India;Western India,community celebration;holika dahan;throwing colors,
navaratri_003,Navaratri,"Navaratri is a nine-night festival dedicated to Goddess Durga and her various forms. Each day represents a different aspect of the goddess, symbolizing strength, wisdom, and protection.",india;durga;goddess;navaratri;aspect,Eastern India;Southern India;Western India,dance;fasting;golu display;puja,
ganesh_chaturthi_004,Ganesh Chaturthi,"Ganesh Chaturthi marks the birth of Lord Ganesha, the remover of obstacles. Clay idols of Ganesha are installed in homes and public spaces, followed by prayers and celebrations.",ganesha;idols;ganesh;chaturthi;remover,Andhra Pradesh;Karnataka;Maharashtra;Tamil Nadu,idol installation;puja;visarjan,
janmashtami_005,Janmashtami,"Janmashtami marks the birth of Lord Krishna, celebrated with fasting, prayers, and devotional songs. Temples are decorated and scenes from Krishna’s life are reenacted.",krishna;birth;janmashtami;reenacted;midnight,Gujarat;Maharashtra;Uttar Pradesh,dahi handi;fasting;puja,
maha_shivaratri_006,Maha Shivaratri,"Maha Shivaratri is dedicated to Lord Shiva and observed with fasting and meditation. Devotees stay awake all night, offering prayers and chanting hymns.",maha;shivaratri;stay;awake;offering,Pan-India,abhishekam;fasting;night vigil,
ram_navami_007,Ram Navami,"Ram Navami marks the birth of Lord Rama, symbolizing righteousness and moral values. Devotees read the Ramayana and participate in temple celebrations.",ram;navami;values;read;ramayana,Northern India;Southern India,processions;puja;recitation,
makar_sankranti_008,Makar Sankranti,Makar Sankranti celebrates the sun’s movement into Capricorn and the harvest season. It is observed with gratitude to nature and farmers.,makar;sankranti;movement;capricorn;farmers,Assam;Gujarat;Punjab;Tamil Nadu,harvest rituals;kite flying,
kumbh_mela_009,Kumbh Mela,Kumbh Mela is a massive pilgrimage where devotees bathe in sacred rivers. It is believed to cleanse sins and promote spiritual renewal.,kumbh;massive;pilgrimage;bathe;cleanse,Haridwar;Nashik;Prayagraj;Ujjain,discourses;holy dip,
raksha_bandhan_010,Raksha Bandhan,"Raksha Bandhan symbolizes the love and protection between brothers and sisters. Sisters tie a rakhi on their brother’s wrist, and brothers promise protection.",brothers;sisters;protection;raksha;bandhan,Pan-India,gift exchange;tying rakhi,
baisakhi_011,Baisakhi,Baisakhi is a major harvest festival celebrated primarily in Punjab. It marks the beginning of the new harvest season and holds deep religious importance for Sikhs.,baisakhi;harvest;primarily;deep;1699,Northern India;Punjab,community meals;gurdwara visits;processions,
guru_nanak_jayanti_012,Guru Nanak Jayanti,"Guru Nanak Jayanti commemorates the birth of Guru Nanak Dev Ji, the founder of Sikhism. The festival emphasizes teachings of equality, humility, and devotion to one God.",nanak;guru nanak;guru;sikhism;include,Pan-India;Punjab,akhand path;langar;processions,
maghi_lohri_013,Maghi and Lohri,"Lohri marks the end of winter and is celebrated with bonfires, songs, and dances. It represents gratitude for the harvest and hope for prosperity.",lohri;maghi;sacrifices;dips;symbolize,Northern India;Punjab,bonfire rituals;oil bath;puja,
hola_mohalla_014,Hola Mohalla,"Hola Mohalla was established by Guru Gobind Singh Ji as a day for demonstrating strength, discipline, and martial skills. It is celebrated a day after Holi.",day;hola;mohalla;established;demonstrating,Punjab,martial demonstrations;processions,
paryushan_015,Paryushan,"Paryushan is the most important Jain festival, emphasizing self-discipline, fasting, and spiritual purification. Devotees practice meditation, study scriptures, and seek forgiveness through the practice of forgiveness day.",practice;forgiveness;paryushan;study;paryushan important,Pan-India,confession;fasting;puja,
mahavir_jayanti_016,Mahavir Jayanti,"Mahavir Jayanti commemorates the birth of Lord Mahavira, the 24th Tirthankara of Jainism. The festival emphasizes non-violence, truth, and self-discipline.",mahavir;mahavira;24th;tirthankara;jainism,Pan-India,charity;processions;puja,
mahamastakabhisheka_017,Mahamastakabhisheka,"Mahamastakabhisheka is a rare Jain festival held at Shravanabelagola, honoring the statue of Gommateshwara Bahubali. The ceremony involves pouring sacred substances over the statue, symbolizing humility and renunciation.",statue;mahamastakabhisheka;rare;shravanabelagola;honoring,Karnataka,anointing ceremony;puja,
bhai_dooj_018,Bhai Dooj,"Bhai Dooj marks the loving relationship between siblings. Sisters pray for their brothers’ well-being, and brothers promise protection.",brothers;bhai;dooj;loving;relationship,Pan-India,puja;tilak ceremony,
gyan_panchami_019,Jnan Panchami,"Jnan Panchami is a Jain festival dedicated to the preservation and worship of knowledge. Holy scriptures are cleaned, restored, and revered, emphasizing learning and wisdom.",knowledge;jnan;restored;revered;learning,Pan-India,puja;study sessions,
kartik_poornima_020,Kartik Poornima,Kartik Poornima is observed on the full moon day of the Kartik month. It is associated with sacred river bathing and lamp offerings.,kartik;poornima;lamp;deepawali;illuminated,Odisha;Pan-India;Uttar Pradesh,lamp offerings;oil bath,
maun_ekadashi_021,Maun Ekadashi,"Maun Ekadashi is a Hindu observance dedicated to spiritual restraint and inner purification. Devotees observe silence (maun), fast, and engage in prayer and meditation.",maun;silence;control;spiritual;ekadashi,Northern India;Pan-India,fasting;meditation;observing silence,
buddhist_new_year_022,Buddhist New Year,"Buddhist New Year is celebrated in many Buddhist communities to mark the beginning of a new year. It is a time for cleansing, renewal, and merit-making.",buddhist;year;new year;new;merit,India;South Asia;Southeast Asia,chanting;charity;temple visits,
magha_puja_023,Magha Puja Day,Magha Puja Day commemorates an important gathering of Buddha’s disciples. It highlights the principles of moral discipline and spiritual wisdom.,magha;gathering;disciples;principles;candle,India;Southeast Asia;Thailand,candle procession;chanting;meditation,
asalha_puja_024,Asalha Puja Day,Asalha Puja Day commemorates the first sermon delivered by Gautama Buddha after enlightenment. It marks the beginning of the Buddhist monastic order and the teaching of the Eightfold Path.,asalha;sermon;delivered;gautama;monastic,India;Southeast Asia;Sri Lanka,meditation;sermon recitation,
songkran_025,Songkran,Songkran marks the traditional New Year in Thailand and neighboring regions. Water is used symbolically to wash away misfortune and welcome a fresh start.,water;songkran;thailand;used;symbolically,Southeast Asia;Thailand,elder blessings;temple visits;water pouring,
gahambars_026,Gahambars,"Gahambars are six seasonal festivals observed in Zoroastrianism to honor different aspects of creation. They emphasize gratitude, charity, and communal harmony through shared meals.",festivals;gahambars;seasonal;aspects;communal,India;Iran,community meals;puja,
nouruz_027,Nouruz,"Nouruz marks the beginning of spring and the Persian New Year. It symbolizes renewal, hope, and balance.",new;nouruz;persian;tables;set,Central Asia;India;Iran,family gatherings;house cleaning,
khordad_sal_028,Khordad Sal,"Khordad Sal commemorates the birth of Prophet Zarathustra, the founder of Zoroastrianism. Devotees visit fire temples and perform prayers.",khordad;sal;zarathustra;khordad sal;sal commemorates,India;Iran,puja;temple visits,
christmas_029,Christmas,"Christmas commemorates the birth of Jesus Christ and is celebrated with joy and generosity. Homes and churches are decorated, carols are sung, and gifts are exchanged.",christmas;churches;carols;sung;gifts,Pan-India;Worldwide,carol singing;midnight mass,
easter_good_friday_030,Easter and Good Friday,"Good Friday marks the crucifixion of Jesus Christ, symbolizing sacrifice and compassion. Easter celebrates his resurrection, representing hope and renewal.",christian;friday marks;marks crucifixion;crucifixion jesus;christ symbolizing,Pan-India;Worldwide,church services;puja,
easter_031,Easter,"Easter is the most important festival in Christianity, commemorating the resurrection of Jesus Christ after his crucifixion. It represents victory over death and the promise of new life.",easter;christianity;church;easter important;festival christianity,Pan-India;Worldwide,church services;puja,
ramzan_032,Ramzan,Ramzan is the ninth month of the Islamic calendar and is observed by Muslims worldwide through fasting from dawn to sunset. The fast commemorates the revelation of the Holy Quran to Prophet Muhammad.,month;ramzan;ninth;worldwide;sunset,Pan-India;Worldwide,charity;fasting;puja,
muharram_033,Muharram,"Muharram is the first month of the Islamic calendar and is especially significant for remembering the martyrdom of Imam Husayn at the Battle of Karbala. For many Muslims, it is a time of mourning, reflection, and prayer.",muharram;remembering;martyrdom;imam;husayn,Pan-India;Worldwide,mourning processions;puja,
eid_e_milad_034,Eid-e-Milad,"Eid-e-Milad commemorates the birth of Prophet Muhammad. Devotees remember his teachings of compassion, humility, and peace.",eid;milad;remember;mosques;encouraged,Pan-India;Worldwide,processions;puja,
bakrid_035,Bakr-Id,"Bakr-Id commemorates Prophet Ibrahim’s devotion and willingness to sacrifice his son in obedience to God. It symbolizes faith, sacrifice, and generosity.",sacrifice;bakr;id;ibrahim;willingness,Pan-India;Worldwide,charity;puja;sacrifice,
rosh_hashanah_036,Rosh Hashanah,Rosh Hashanah is the Jewish New Year and a time for reflection and repentance. It marks the beginning of the High Holy Days in Judaism.,year;rosh;hashanah;jewish;high,Worldwide,puja;shofar blowing,
yom_kippur_037,Yom Kippur,"Yom Kippur is a solemn day dedicated to repentance and forgiveness. It is marked by fasting, prayer, and self-reflection.",forgiveness;yom;kippur;solemn;yom kippur,Worldwide,fasting;intense prayer,
hanukkah_038,Hanukkah,Hanukkah commemorates the rededication of the Second Temple in Jerusalem. The festival is observed for eight nights by lighting the menorah.,hanukkah;rededication;second;jerusalem;nights,Worldwide,lighting candles;puja,
ugadi_039,Ugadi,Ugadi is celebrated as the New Year by Telugu and Kannada communities. It symbolizes new beginnings and hope.,new;ugadi;telugu;kannada;clean,Andhra Pradesh;Karnataka;Telangana,home decoration;puja,
lumbini_festival_040,Lumbini Festival,"The Lumbini Festival is a Buddhist cultural festival organized to promote peace and the teachings of Lord Buddha. It includes prayers, cultural programs, and exhibitions reflecting Buddhist traditions.",buddhist;cultural;lumbini;organized;reflecting,Andhra Pradesh,cultural events;puja,
tirupati_brahmotsavam_041,Tirupati Brahmotsavam,Tirupati Brahmotsavam is the most important festival celebrated at the Tirumala Venkateswara Temple. It spans several days and involves elaborate processions of the deity on different vahanas.,temple;tirupati;brahmotsavam;tirumala;venkateswara,Andhra Pradesh;Tirupati,processions;puja;vahana seva,
deccan_festival_042,Deccan Festival,"The Deccan Festival is a cultural event showcasing the art, crafts, cuisine, and traditions of the Deccan plateau. It includes music, dance, exhibitions, and food fairs, promoting regional unity and heritage.",deccan;showcasing;art;plateau;fairs,Hyderabad;Telangana,cultural performances;exhibitions,
siang_river_festival_043,Siang River Festival,"The Siang River Festival is celebrated in Arunachal Pradesh to promote unity among communities and awareness about nature. It features river sports, traditional dances, and cultural exchanges.",river;siang;awareness;exchanges;siang river,Arunachal Pradesh,cultural programs;river activities,
pangsau_pass_festival_044,Pangsau Pass Winter Festival,The Pangsau Pass Winter Festival is held near the historic Pangsau Pass in Arunachal Pradesh. It celebrates cultural connections between India and neighboring regions.,pangsau;pass;pangsau pass;connections;pass winter,Arunachal Pradesh,cultural displays;folk dances,
solung_festival_045,Solung Festival,Solung is an important agricultural festival celebrated by the Adi tribe of Arunachal Pradesh. It marks sowing and harvesting activities.,solung;adi;sowing;solung important;important agricultural,Arunachal Pradesh,agricultural rituals;feast,
losar_046,Losar,Losar is celebrated as the Tibetan New Year by Buddhist communities. It marks the beginning of a new year with prayers and festive gatherings.,year;new year;new;fortune;tibetan new,Arunachal Pradesh;Ladakh;Sikkim,puja;temple visits,
rongali_bihu_047,Rongali Bihu,"Rongali Bihu is the most important Bihu festival of Assam, celebrating the Assamese New Year and the arrival of spring. It is marked by music, dance, and community gatherings.",bihu;rongali;assamese;rongali bihu;bihu important,Assam,bihu dance;music performances,
